"Season","SeasonEpNumber","Host","MusicalGuest","AirDate"
7,17,"Johnny Cash","Elton John",1982-04-17
7,18,"Robert Culp","The Charlie Daniels Band",1982-04-24
7,19,"Danny DeVito","Sparks",1982-05-15
7,20,"Olivia Newton-John","Olivia Newton-John",1982-05-22
8,1,"Chevy Chase","Queen",1982-09-25
8,2,"Louis Gossett, Jr.","George Thorogood & the Destroyers",1982-10-02
8,3,"Ron Howard","The Clash",1982-10-09
8,4,"Howard Hesseman","Men at Work",1982-10-23
8,5,"Michael Keaton","The New Joe Jackson Band",1982-10-30
8,6,"Robert Blake","Kenny Loggins",1982-11-13
8,7,"Drew Barrymore","Squeeze",1982-11-20
8,8,"The Smothers Brothers","Laura Branigan",1982-12-04
8,9,"Eddie Murphy","Lionel Richie",1982-12-11
8,10,"Lily Tomlin","Tomlin as Pervis Hawkins",1983-01-22
8,11,"Rick MoranisDave Thomas","The Bus Boys",1983-01-29
8,12,"Sid Caesar","Joe CockerJennifer Warnes",1983-02-05
8,13,"Howard Hesseman","Tom Petty & The Heartbreakers",1983-02-19
8,14,"Beau BridgesJeff Bridges","Randy Newman",1983-02-26
8,15,"Bruce Dern","Leon Redbone",1983-03-12
8,16,"Robert Guillaume","Duran Duran",1983-03-19
8,17,"Joan Rivers","Musical Youth",1983-04-09
8,18,"Susan Saint James","Michael McDonald",1983-04-16
8,19,"Stevie Wonder","Stevie Wonder",1983-05-07
8,20,"Ed Koch","Kevin RowlandDexys Midnight Runners",1983-05-14
9,1,"Brandon Tartikoff","John Cougar Mellencamp",1983-10-08
9,2,"Danny DeVito & Rhea Perlman","Eddy Grant",1983-10-15
9,3,"John Candy","Men at Work",1983-10-22
9,4,"Betty Thomas","Stray Cats",1983-11-05
9,5,"Teri Garr","Mick Fleetwood's ZooLindsey Buckingham",1983-11-12
9,6,"Jerry Lewis","Loverboy",1983-11-19
9,7,"The Smothers Brothers","Big Country",1983-12-03
9,8,"Flip Wilson","Stevie Nicks",1983-12-10
9,9,"Father Guido Sarducci (Don Novello)","Huey Lewis and the News",1984-01-14
