"Season","SeasonEpNumber","Guests","Host","MusicalGuest","AirDate","Rating","Votes"
14,8,"Kevin Kline/Bobby McFerrin","Kevin Kline","Bobby McFerrin","1988-12-10",7,24
14,9,"Melanie Griffith/Little Feat","Melanie Griffith","Little Feat","1988-12-17",6.4,24
14,10,"John Malkovich/Anita Baker","John Malkovich","Anita Baker","1989-01-21",6.2,22
14,11,"Tony Danza/John Hiatt","Tony Danza","John Hiatt","1989-01-28",6.4,19
14,12,"Ted Danson/Luther Vandross","Ted Danson","Luther Vandross","1989-02-11",5.6,27
14,13,"Leslie Nielsen/Cowboy Junkies","Leslie Nielsen","Cowboy Junkies","1989-02-18",6.2,30
14,14,"Glenn Close/Gipsy Kings","Glenn Close","Gipsy Kings","1989-02-25",5.9,31
14,15,"Mary Tyler Moore/Elvis Costello","Mary Tyler Moore","Elvis Costello","1989-03-25",6.1,28
14,16,"Mel Gibson/Living Colour","Mel Gibson","Living Colour","1989-04-01",5.8,39
14,17,"Dolly Parton","Dolly Parton","Dolly Parton","1989-04-15",6,29
14,18,"Geena Davis/John Mellencamp","Geena Davis","John Cougar Mellencamp","1989-04-22",5.7,26
14,19,"Wayne Gretzky/Fine Young Cannibals","Wayne Gretzky","Fine Young Cannibals","1989-05-13",6.2,29
14,20,"Steve Martin/Tom Petty & The Heartbreakers","Steve Martin","Tom Petty & the Heartbreakers","1989-05-20",7.6,30
15,1,"Bruce Willis/Neil Young","Bruce Willis","Neil Young","1989-09-30",6.6,34
15,2,"Rick Moranis/Rickie Lee Jones","Rick Moranis","Rickie Lee Jones","1989-10-07",5.9,32
15,3,"Kathleen Turner/Billy Joel","Kathleen Turner","Billy Joel","1989-10-21",6.2,27
15,4,"James Woods/Don Henley","James Woods","Don Henley","1989-10-28",5.9,27
15,5,"Chris Evert/Eurythmics","Chris Evert","Eurythmics","1989-11-11",6,23
15,6,"Woody Harrelson/David Byrne","Woody Harrelson","David Byrne","1989-11-18",6,36
15,7,"John Goodman/k.d. lang","John Goodman","k.d. lang","1989-12-02",5.9,28
15,8,"Robert Wagner/Linda Ronstadt & Aaron Neville","Robert Wagner","Linda RonstadtAaron Neville","1989-12-09",6.1,21
15,9,"Andie MacDowell/Tracy Chapman","Andie MacDowell","Tracy Chapman","1989-12-16",5.3,22
15,10,"Ed O'Neill/Harry Connick Jr.","Ed O'Neill","Harry Connick, Jr.","1990-01-13",6.1,36
15,11,"Christopher Walken/Bonnie Raitt","Christopher Walken","Bonnie Raitt","1990-01-20",6.3,27
15,12,"Quincy Jones & Co.","Quincy Jones","Tevin Campbell, Kool Moe Dee & Big Daddy Kane","1990-02-10",5.5,26
15,13,"Tom Hanks/Aerosmith","Tom Hanks","Aerosmith","1990-02-17",6.7,40
15,14,"Fred Savage/Technotronic","Fred Savage","Technotronic","1990-02-24",6.5,30
15,15,"Rob Lowe/The Pogues","Rob Lowe","The Pogues","1990-03-17",6.1,37
15,16,"Debra Winger/Eric Clapton","Debra Winger","Eric Clapton","1990-03-24",5.8,28
15,17,"Corbin Bernsen/The Smithereens","Corbin Bernsen","The Smithereens","1990-04-14",5.9,26
15,18,"Alec Baldwin/The B-52's","Alec Baldwin","The B-52's","1990-04-21",6.5,44
15,19,"Andrew Dice Clay/Julee Cruise/Spanic Boys","Andrew Dice Clay","Julee Cruise & Spanic Boys","1990-05-12",6.6,38
15,20,"Candice Bergen/The Notting Hillbillies","Candice Bergen","The Notting Hillbillies","1990-05-19",4.9,23
16,1,"Kyle MacLachlan/Sinéad O'Connor","Kyle MacLachlan","Sinéad O'Connor","1990-09-29",7.3,52
16,2,"Susan Lucci/Hothouse Flowers","Susan Lucci","Hothouse Flowers","1990-10-06",6.5,28
16,3,"George Steinbrenner/Morris Day & The Time","George Steinbrenner","Morris Day & The Time","1990-10-20",6.2,30
16,4,"Patrick Swayze/Mariah Carey","Patrick Swayze","Mariah Carey","1990-10-27",7.9,59
16,5,"Jimmy Smits/World Party","Jimmy Smits","World Party","1990-11-10",6.2,27
16,6,"Dennis Hopper/Paul Simon","Dennis Hopper","Paul Simon","1990-11-17",6.5,25
16,7,"John Goodman/Faith No More","John Goodman","Faith No More","1990-12-01",6.9,39
16,8,"Tom Hanks/Edie Brickell & New Bohemians","Tom Hanks","Edie Brickell & New Bohemians","1990-12-08",6.7,42
16,9,"Dennis Quaid/The Neville Brothers","Dennis Quaid","The Neville Brothers","1990-12-15",5.7,30
16,10,"Joe Mantegna/Vanilla Ice","Joe Mantegna","Vanilla Ice","1991-01-12",6.5,31
16,11,"Sting","Sting","Sting","1991-01-19",6.4,36
16,12,"Kevin Bacon/INXS","Kevin Bacon","INXS","1991-02-09",6.5,29
16,13,"Roseanne Barr/Deee-lite","Roseanne Barr","Deee-Lite","1991-02-16",5.4,31
16,14,"Alec Baldwin/Whitney Houston","Alec Baldwin","Whitney Houston","1991-02-23",6.8,55
16,15,"Michael J. Fox/Black Crowes","Michael J. Fox","The Black Crowes","1991-03-16",6.6,39
16,16,"Jeremy Irons/Fishbone","Jeremy Irons","Fishbone","1991-03-23",7,35
16,17,"Catherine O'Hara/R.E.M.","Catherine O'Hara","R.E.M.","1991-04-13",6.6,31
16,18,"Steven Seagal/Michael Bolton","Steven Seagal","Michael Bolton","1991-04-20",6,43
16,19,"Delta Burke/Chris Isaak","Delta Burke","Chris Isaak","1991-05-11",6,28
16,20,"George Wendt/Elvis Costello","George Wendt","Elvis Costello","1991-05-18",5.9,35
17,1,"Michael Jordan/Public Enemy","Michael Jordan","Public Enemy","1991-09-28",7.2,59
17,2,"Jeff Daniels/Color Me Badd","Jeff Daniels","Color Me Badd","1991-10-05",7.4,34
17,3,"Kirstie Alley/Tom Petty & The Heartbreakers","Kirstie Alley","Tom Petty & The Heartbreakers","1991-10-12",6.9,29
17,4,"Christian Slater/Bonnie Raitt","Christian Slater","Bonnie Raitt","1991-10-26",7.8,37
17,5,"Kiefer Sutherland/Skid Row","Kiefer Sutherland","Skid Row","1991-11-02",7.7,34
17,6,"Linda Hamilton/Mariah Carey","Linda Hamilton","Mariah Carey","1991-11-16",7.9,52
17,7,"Macaulay Culkin/Tin Machine","Macaulay Culkin","Tin Machine","1991-11-23",7.4,44
17,8,"Hammer","MC Hammer","MC Hammer","1991-12-07",5,29
17,9,"Steve Martin/James Taylor","Steve Martin","James Taylor","1991-12-14",8,46
17,10,"Rob Morrow/Nirvana","Rob Morrow","Nirvana","1992-01-11",7.6,37
17,11,"Chevy Chase/Robbie Robertson","Chevy Chase","Robbie RobertsonBruce Hornsby & the Range","1992-01-18",6.8,33
17,12,"Susan Dey/C+C Music Factory","Susan Dey","C&C Music Factory","1992-02-08",7.6,25
17,13,"Jason Priestly/Teenage Fanclub","Jason Priestley","Teenage Fanclub","1992-02-15",7.8,34
17,14,"Roseanne & Tom Arnold/Red Hot Chili Peppers","Roseanne ArnoldTom Arnold","Red Hot Chili Peppers","1992-02-22",7.8,56
17,15,"John Goodman/Garth Brooks","John Goodman","Garth Brooks","1992-03-14",7.7,32
17,16,"Mary Stuart Masterson/En Vogue","Mary Stuart Masterson","En Vogue","1992-03-21",6.3,27
17,17,"Sharon Stone/Pearl Jam","Sharon Stone","Pearl Jam","1992-04-11",7.9,41
17,18,"Jerry Seinfeld/Annie Lennox","Jerry Seinfeld","Annie Lennox","1992-04-18",7.2,56
17,19,"Tom Hanks/Bruce Springsteen","Tom Hanks","Bruce Springsteen","1992-05-09",7.3,40
17,20,"Woody Harrelson/Vanessa Williams","Woody Harrelson","Vanessa Williams","1992-05-16",6.7,30
18,1,"Nicolas Cage/Bobby Brown","Nicolas Cage","Bobby Brown","1992-09-26",6.3,37
18,2,"Tim Robbins/Sinéad O'Connor","Tim Robbins","Sinéad O'Connor","1992-10-03",6.5,40
18,3,"Joe Pesci/Spin Doctors","Joe Pesci","The Spin Doctors","1992-10-10",6.7,41
18,4,"Christopher Walken/Arrested Development","Christopher Walken","Arrested Development","1992-10-24",7.7,45
18,5,"Catherine O'Hara/10,000 Maniacs","Catherine O'Hara","10,000 Maniacs","1992-10-31",6.8,35
18,6,"Michael Keaton/Morrissey","Michael Keaton","Morrissey","1992-11-14",7.2,37
18,7,"Sinbad/Sade","Sinbad","Sade","1992-11-21",5.1,26
18,8,"Tom Arnold/Neil Young","Tom Arnold","Neil Young","1992-12-05",5.5,33
18,9,"Glenn Close/Black Crowes","Glenn Close","The Black Crowes","1992-12-12",6.2,28
18,10,"Danny DeVito/Bon Jovi","Danny DeVito","Bon Jovi","1993-01-09",6.3,34
18,11,"Harvey Keitel/Madonna","Harvey Keitel","Madonna","1993-01-16",7.2,38
18,12,"Luke Perry/Mick Jagger","Luke Perry","Mick Jagger","1993-02-06",5.5,36
18,13,"Alec Baldwin/Paul McCartney","Alec Baldwin","Paul McCartney","1993-02-13",7.7,49
18,14,"Bill Murray/Sting","Bill Murray","Sting","1993-02-20",7.9,41
18,15,"John Goodman/Mary J. Blige","John Goodman","Mary J. Blige","1993-03-13",6.4,30
18,16,"Miranda Richardson/Soul Asylum","Miranda Richardson","Soul Asylum","1993-03-20",7.5,31
18,17,"Jason Alexander/Peter Gabriel","Jason Alexander","Peter Gabriel","1993-04-10",7.1,37
18,18,"Kirstie Alley/Lenny Kravitz","Kirstie Alley","Lenny Kravitz","1993-04-17",6.1,30
18,19,"Christina Applegate/Midnight Oil","Christina Applegate","Midnight Oil","1993-05-08",7.2,54
18,20,"Kevin Kline/Willie Nelson & Paul Simon","Kevin Kline","Willie Nelson & Paul Simon","1993-05-15",6,28
19,1,"Charles Barkley/Nirvana","Charles Barkley","Nirvana","1993-09-25",7.5,54
19,2,"Shannon Doherty/Cypress Hill","Shannen Doherty","Cypress Hill","1993-10-02",6.4,33
19,3,"Jeff Goldblum/Aerosmith","Jeff Goldblum","Aerosmith","1993-10-09",6.2,46
19,4,"John Malkovich/Billy Joel","John Malkovich","Billy Joel","1993-10-23",7.1,35
19,5,"Christian Slater/Smashing Pumpkins","Christian Slater","The Smashing Pumpkins","1993-10-30",6.7,35
19,6,"Rosie O'Donnell/James Taylor","Rosie O'Donnell","James TaylorDon Grolnick","1993-11-13",3.9,30
19,7,"Nicole Kidman/Stone Temple Pilots","Nicole Kidman","Stone Temple Pilots","1993-11-20",6.6,34
19,8,"Charlton Heston/Paul Westerberg","Charlton Heston","Paul Westerberg","1993-12-04",6.1,45
19,9,"Sally Field/Tony! Toni! Tone!","Sally Field","Tony! Toni! Toné!Lili Haydn","1993-12-11",6,32
19,10,"Jason Patric/Blind Melon","Jason Patric","Blind Melon","1994-01-08",5.9,32
19,11,"Sara Gilbert/Counting Crows","Sara Gilbert","Counting Crows","1994-01-15",6.3,43
19,12,"Patrick Stewart/Salt-N-Pepa","Patrick Stewart","Salt-N-Pepa","1994-02-05",7.5,39
19,13,"Alec Baldwin & Kim Basinger/UB40","Alec Baldwin and Kim Basinger","UB40","1994-02-12",6.2,37
19,14,"Martin Lawrence/Crash Test Dummies","Martin Lawrence","Crash Test Dummies","1994-02-19",5.8,41
19,15,"Nancy Kerrigan/Aretha Franklin","Nancy Kerrigan","Aretha Franklin","1994-03-12",4.5,30
19,16,"Helen Hunt/Snoop Doggy Dogg","Helen Hunt","Snoop Doggy Dogg","1994-03-19",6.9,34
19,17,"Kelsey Grammer/Dwight Yoakam","Kelsey Grammer","Dwight Yoakam","1994-04-09",5,26
19,18,"Emilio Estevez/Pearl Jam","Emilio Estevez","Pearl Jam","1994-04-16",7,34
19,19,"John Goodman/The Pretenders","John Goodman","The Pretenders","1994-05-07",5.4,27
19,20,"Heather Locklear/Janet Jackson","Heather Locklear","Janet Jackson","1994-05-14",6.3,32
20,1,"Steve Martin/Eric Clapton","Steve Martin","Eric Clapton","1994-09-24",7.6,39
20,2,"Marisa Tomei/Bonnie Raitt","Marisa Tomei","Bonnie Raitt","1994-10-01",6.9,34
20,3,"John Travolta/Seal","John Travolta","Seal","1994-10-15",8,46
20,4,"Dana Carvey/Edie Brickell & Paul Simon","Dana Carvey","Edie Brickell & Paul Simon","1994-10-22",6.5,32
20,5,"Sarah Jessica Parker/R.E.M.","Sarah Jessica Parker","R.E.M.","1994-11-12",6.2,32
20,6,"John Turturro/Tom Petty & the Heartbreakers","John Turturro","Tom Petty","1994-11-19",6.3,33
20,7,"Roseanne/Green Day","Roseanne","Green Day","1994-12-03",7,36
20,8,"Alec Baldwin/Beastie Boys","Alec Baldwin","Beastie Boys","1994-12-10",7.3,46
20,9,"George Foreman/Hole","George Foreman","Hole","1994-12-17",6.1,30
20,10,"Jeff Daniels/Luscious Jackson","Jeff Daniels","Luscious Jackson","1995-01-14",7.9,34
20,11,"David Hyde Pierce/Live","David Hyde Pierce","Live","1995-01-21",6.8,31
20,12,"Bob Newhart/Des'ree","Bob Newhart","Des'ree","1995-02-11",7.4,34
20,13,"Deion Sanders/Bon Jovi","Deion Sanders","Bon Jovi","1995-02-18",5.9,32
20,14,"George Clooney/The Cranberries","George Clooney","The Cranberries","1995-02-25",5.8,37
20,15,"Paul Reiser/Annie Lennox","Paul Reiser","Annie Lennox","1995-03-18",6.7,30
20,16,"John Goodman/Tragically Hip","John Goodman","The Tragically Hip","1995-03-25",7.7,39
20,17,"Damon Wayans/Dionne Farris","Damon Wayans","Dionne Farris","1995-04-08",7.1,29
20,18,"Courteney Cox/Dave Matthews Band","Courteney Cox","Dave Matthews Band","1995-04-15",7.4,43
20,19,"Bob Saget/TLC","Bob Saget","TLC","1995-05-06",6.7,37
20,20,"David Duchovny/Rod Stewart","David Duchovny","Rod Stewart","1995-05-13",8,43
21,1,"Mariel Hemingway/Blues Traveler","Mariel Hemingway","Blues Traveler","1995-09-30",6.9,33
21,2,"Chevy Chase/Lisa Loeb and Nine Stories","Chevy Chase","Lisa Loeb & Nine Stories","1995-10-07",6.5,35
21,3,"David Schwimmer/Natalie Merchant","David Schwimmer","Natalie Merchant","1995-10-21",5.9,31
21,4,"Gabriel Byrne/Alanis Morissette","Gabriel Byrne","Alanis Morissette","1995-10-28",6.4,29
21,5,"Quentin Tarantino/Smashing Pumpkins","Quentin Tarantino","The Smashing Pumpkins","1995-11-11",7.1,40
21,6,"Laura Leighton/Rancid","Laura Leighton","Rancid","1995-11-18",5.8,34
21,7,"Anthony Edwards/Foo Fighters","Anthony Edwards","Foo Fighters","1995-12-02",6.5,24
21,8,"David Alan Grier/Silverchair","David Alan Grier","Silverchair","1995-12-09",6.3,26
21,9,"Madeline Kahn/Bush","Madeline Kahn","Bush","1995-12-16",5.4,28
21,10,"Christopher Walken/Joan Osborne","Christopher Walken","Joan Osborne","1996-01-13",7.4,40
21,11,"Alec Baldwin/Tori Amos","Alec Baldwin","Tori Amos","1996-01-20",6.8,33
21,12,"Danny Aiello/Coolio","Danny Aiello","Coolio","1996-02-10",5.6,27
21,13,"Tom Arnold/Tupac Shakur","Tom Arnold","Tupac Shakur","1996-02-17",6.8,34
21,14,"Elle MacPherson/Sting","Elle Macpherson","Sting","1996-02-24",6.2,27
21,15,"John Goodman/Everclear","John Goodman","Everclear","1996-03-16",7.5,29
21,16,"Phil Hartman/Gin Blossoms","Phil Hartman","Gin Blossoms","1996-03-23",6.8,30
21,17,"Steve Forbes/Rage Against the Machine","Steve Forbes","Rage Against the Machine","1996-04-13",5.6,30
21,18,"Teri Hatcher/Dave Matthews Band","Teri Hatcher","Dave Matthews Band","1996-04-20",6.4,25
21,19,"Christine Baranski/The Cure","Christine Baranski","The Cure","1996-05-11",6.4,32
21,20,"Jim Carrey/Soundgarden","Jim Carrey","Soundgarden","1996-05-18",8.5,138
22,1,"Tom Hanks/Tom Petty & the Heartbreakers","Tom Hanks","Tom Petty & the Heartbreakers","1996-09-28",4.3,44
22,2,"Lisa Kudrow/Sheryl Crow","Lisa Kudrow","Sheryl Crow","1996-10-05",5.6,32
22,3,"Bill Pullman/New Edition","Bill Pullman","New Edition","1996-10-19",4.8,28
22,4,"Dana Carvey/Dr. Dre","Dana Carvey","Dr. Dre","1996-10-26",6.1,23
22,5,"Chris Rock/The Wallflowers","Chris Rock","The Wallflowers","1996-11-02",4.2,39
22,6,"Robert Downey Jr/Fiona Apple","Robert Downey, Jr.","Fiona Apple","1996-11-16",6.3,40
22,7,"Phil Hartman/Bush","Phil Hartman","Bush","1996-11-23",6,25
22,8,"Martin Short/No Doubt","Martin Short","No Doubt","1996-12-07",5.8,34
22,9,"Rosie O'Donnell/Whitney Houston","Rosie O'Donnell","Whitney Houston","1996-12-14",4,44
22,10,"Kevin Spacey/Beck","Kevin Spacey","Beck","1997-01-11",7.1,49
22,11,"David Alan Grier/Snoop Doggy Dogg","David Alan Grier","Snoop Doggy Dogg","1997-01-18",6.3,27
22,12,"Neve Campbell/David Bowie","Neve Campbell","David Bowie","1997-02-08",6.2,37
22,13,"Chevy Chase/Live","Chevy Chase","Live","1997-02-15",5.6,25
22,14,"Alec Baldwin/Tina Turner","Alec Baldwin","Tina Turner","1997-02-22",6,33
22,15,"Sting/Veruca Salt","Sting","Veruca Salt","1997-03-15",6,27
22,16,"Mike Myers/Aerosmith","Mike Myers","Aerosmith","1997-03-22",6.3,27
22,17,"Rob Lowe/Spice Girls","Rob Lowe","Spice Girls","1997-04-12",5.9,38
22,18,"Pamela Lee/Rollins Band","Pamela Anderson","Rollins Band","1997-04-19",3.7,36
22,19,"John Goodman/Jewel","John Goodman","Jewel","1997-05-10",6.3,37
22,20,"Jeff Goldblum/En Vogue","Jeff Goldblum","En Vogue","1997-05-17",6.3,25
23,1,"Sylvester Stallone/Jamiroquai","Sylvester Stallone","Jamiroquai","1997-09-27",7.4,43
23,2,"Matthew Perry/Oasis","Matthew Perry","Oasis","1997-10-04",6.2,41
23,3,"Brendan Fraser/Björk","Brendan Fraser","Björk","1997-10-18",5.4,41
23,4,"Chris Farley/The Mighty Mighty Bosstones","Chris Farley","The Mighty Mighty Bosstones","1997-10-25",6.6,50
23,5,"Jon Lovitz/Jane's Addiction","Jon Lovitz","Jane's Addiction","1997-11-08",5.6,30
23,6,"Claire Danes/Mariah Carey","Claire Danes","Mariah Carey","1997-11-15",5.2,43
23,7,"Rudy Giuliani/Sarah McLachlan","Rudolph Giuliani","Sarah McLachlan","1997-11-22",5.7,35
23,8,"Nathan Lane/Metallica","Nathan Lane","Metallica & Marianne Faithfull","1997-12-06",6.1,33
23,9,"Helen Hunt/Hanson","Helen Hunt","Hanson","1997-12-13",5.9,47
23,10,"Samuel L. Jackson/Ben Folds Five","Samuel L. Jackson","Ben Folds Five","1998-01-10",7.2,31
23,11,"Sarah Michelle Gellar/Portishead","Sarah Michelle Gellar","Portishead","1998-01-17",5.7,45
23,12,"John Goodman/Paula Cole","John Goodman","Paula Cole","1998-02-07",5.7,29
23,13,"Roma Downey/Missy 'Misdemeanor' Elliott","Roma Downey","Missy Misdemeanor Elliott","1998-02-14",5.2,25
23,14,"Garth Brooks","Garth Brooks","Garth Brooks","1998-02-28",6.6,40
23,15,"Scott Wolf/Natalie Imbruglia","Scott Wolf","Natalie Imbruglia","1998-03-07",4.5,26
23,16,"Julianne Moore/Backstreet Boys","Julianne Moore","Backstreet Boys","1998-03-14",4.8,32
23,17,"Steve Buscemi/Third Eye Blind","Steve Buscemi","Third Eye Blind","1998-04-04",6.7,50
23,18,"Greg Kinnear/All Saints","Greg Kinnear","All Saints","1998-04-11",5.6,26
23,19,"Matthew Broderick/Natalie Merchant","Matthew Broderick","Natalie Merchant","1998-05-02",5.8,37
23,20,"David Duchovny/Puff Daddy/Jimmy Page","David Duchovny","Puff DaddyJimmy Page","1998-05-09",5.5,57
24,1,"Cameron Diaz/Smashing Pumpkins","Cameron Diaz","The Smashing Pumpkins","1998-09-26",6.6,45
24,2,"Kelsey Grammer/Sheryl Crow","Kelsey Grammer","Sheryl Crow","1998-10-03",5.6,38
24,3,"Lucy Lawless/Elliott Smith","Lucy Lawless","Elliott Smith","1998-10-17",7.4,49
24,4,"Ben Stiller/Alanis Morrisette","Ben Stiller","Alanis Morissette","1998-10-24",5.9,40
24,5,"David Spade/Eagle-Eye Cherry","David Spade","Eagle-Eye Cherry","1998-11-07",5.3,37
24,6,"Joan Allen/Jewel","Joan Allen","Jewel","1998-11-14",5.2,26
24,7,"Jennifer Love Hewitt/Beastie Boys","Jennifer Love Hewitt","Beastie Boys","1998-11-21",5.5,52
24,8,"Vince Vaughn/Lauryn Hill","Vince Vaughn","Lauryn Hill","1998-12-05",5.6,31
24,9,"Alec Baldwin/Luciano Pavarotti, Vanessa Williams","Alec Baldwin","Luciano PavarottiVanessa WilliamsPhiladelphia Boys Choir & Chorale","1998-12-12",6.4,45
24,10,"Bill Paxton/Beck","Bill Paxton","Beck","1999-01-09",6.6,48
24,11,"James Van Der Beek/Everlast","James Van Der Beek","Everlast","1999-01-16",5.2,30
24,12,"Gwyneth Paltrow/Barenaked Ladies","Gwyneth Paltrow","Barenaked Ladies","1999-02-06",6.2,44
24,13,"Brendan Fraser/The Roots","Brendan Fraser","Busta RhymesThe Roots","1999-02-13",6.5,37
24,14,"Bill Murray/Lucinda Williams","Bill Murray","Lucinda Williams","1999-02-20",6,34
24,15,"Ray Romano/The Corrs","Ray Romano","The Corrs","1999-03-13",5.4,30
24,16,"Drew Barrymore/Garbage","Drew Barrymore","Garbage","1999-03-20",6.7,42
24,17,"John Goodman/Tom Petty & The Heartbreakers","John Goodman","Tom Petty & the Heartbreakers","1999-04-10",5.8,35
24,18,"Cuba Gooding, Jr./Ricky Martin","Cuba Gooding Jr.","Ricky Martin","1999-05-08",3.8,44
24,19,"Sarah Michelle Gellar/Backstreet Boys","Sarah Michelle Gellar","Backstreet Boys","1999-05-15",6.5,64
25,1,"Jerry Seinfeld/David Bowie","Jerry Seinfeld","David Bowie","1999-10-02",7.6,62
25,2,"Heather Graham/Marc Anthony","Heather Graham","Marc Anthony","1999-10-16",5.9,34
25,3,"Norm Macdonald/Dr. Dre & Snoop Dogg","Norm Macdonald","Dr. Dre featuringSnoop Dogg & Eminem","1999-10-23",7.4,39
25,4,"Dylan McDermott/Foo Fighters","Dylan McDermott","Foo Fighters","1999-11-06",6.1,32
25,5,"Garth Brooks/Chris Gaines","Garth Brooks","Garth Brooks as Chris Gaines","1999-11-13",6.4,35
25,6,"Jennifer Aniston/Sting","Jennifer Aniston","Sting","1999-11-20",6.6,58
25,7,"Christina Ricci/Beck","Christina Ricci","Beck","1999-12-04",5.9,36
25,8,"Danny DeVito/R.E.M.","Danny DeVito","R.E.M.","1999-12-11",6.1,36
25,9,"Jamie Foxx/Blink-182","Jamie Foxx","Blink-182","2000-01-08",5.8,35
25,10,"Freddie Prinze, Jr./Macy Gray","Freddie Prinze, Jr.","Macy Gray","2000-01-15",6.5,42
25,11,"Alan Cumming/Jennifer Lopez","Alan Cumming","Jennifer Lopez","2000-02-05",5.9,43
25,12,"Julianna Margulies/DMX","Julianna Margulies","DMX","2000-02-12",6.1,27
25,13,"Ben Affleck/Fiona Apple","Ben Affleck","Fiona Apple","2000-02-19",6.8,54
25,14,"Joshua Jackson/'N Sync","Joshua Jackson","'N Sync","2000-03-11",6.3,48
25,15,"The Rock/AC/DC","The Rock (Dwayne Johnson)","AC/DC","2000-03-18",7.2,53
25,16,"Christopher Walken/Christina Aguilera","Christopher Walken","Christina Aguilera","2000-04-08",8.1,73
25,17,"Tobey Maguire/Sisqo","Tobey Maguire","Sisqó","2000-04-15",6.9,44
25,18,"John Goodman/Neil Young","John Goodman","Neil Young","2000-05-06",6.2,30
25,19,"Britney Spears","Britney Spears","Britney Spears","2000-05-13",4.9,66
25,20,"Jackie Chan/Kid Rock","Jackie Chan","Kid Rock","2000-05-20",5.7,62
26,1,"Rob Lowe/Eminem","Rob Lowe","Eminem","2000-10-07",6.4,56
26,2,"Kate Hudson/Radiohead","Kate Hudson","Radiohead","2000-10-14",7.2,54
26,3,"Dana Carvey/The Wallflowers","Dana Carvey","The Wallflowers","2000-10-21",5.5,47
26,4,"Charlize Theron/Paul Simon","Charlize Theron","Paul Simon","2000-11-04",5.4,42
26,5,"Calista Flockhart/Ricky Martin","Calista Flockhart","Ricky Martin","2000-11-11",4.7,39
26,6,"Tom Green/David Gray","Tom Green","David Gray","2000-11-18",5.3,54
26,7,"Val Kilmer/U2","Val Kilmer","U2","2000-12-09",6.4,49
26,8,"Lucy Liu/Jay-Z","Lucy Liu","Jay-Z","2000-12-16",5.7,45
26,9,"Charlie Sheen/Nelly Furtado","Charlie Sheen","Nelly Furtado","2001-01-13",5.4,39
26,10,"Mena Suvari/Lenny Kravitz","Mena Suvari","Lenny Kravitz","2001-01-20",5.5,33
26,11,"Jennifer Lopez","Jennifer Lopez","Jennifer Lopez","2001-02-10",5.1,44
26,12,"Sean Hayes/Shaggy","Sean Hayes","Shaggy","2001-02-17",6.5,39
26,13,"Katie Holmes/Dave Matthews Band","Katie Holmes","Dave Matthews Band","2001-02-24",5.5,42
26,14,"Conan O'Brien/Don Henley","Conan O'Brien","Don Henley","2001-03-10",7.5,69
26,15,"Julia Stiles/Aerosmith","Julia Stiles","Aerosmith","2001-03-17",6.1,45
26,16,"Alec Baldwin/Coldplay","Alec Baldwin","Coldplay","2001-04-07",6,49
26,17,"Renée Zellweger/Eve","Renée Zellweger","Eve","2001-04-14",5.2,44
26,18,"Pierce Brosnan/Destiny's Child","Pierce Brosnan","Destiny's Child","2001-05-05",6.9,52
26,19,"Lara Flynn Boyle/Bon Jovi","Lara Flynn Boyle","Bon Jovi","2001-05-12",5.7,27
26,20,"Christopher Walken/Weezer","Christopher Walken","Weezer","2001-05-19",7.4,50
27,1,"Reese Witherspoon/Alicia Keys","Reese Witherspoon","Alicia Keys","2001-09-29",6.7,40
27,2,"Seann William Scott/Sum41","Seann William Scott","Sum 41","2001-10-06",7.3,42
27,3,"Drew Barrymore/Macy Gray","Drew Barrymore","Macy Gray","2001-10-13",5.5,42
27,4,"John Goodman/Ja Rule","John Goodman","Ja Rule","2001-11-03",5.9,35
27,5,"Gwyneth Paltrow/Ryan Adams","Gwyneth Paltrow","Ryan Adams","2001-11-10",6,41
27,6,"Billy Bob Thornton/Creed","Billy Bob Thornton","Creed","2001-11-17",5.3,39
27,7,"Derek Jeter/Shakira/Bubba Sparxxx","Derek Jeter","ShakiraBubba Sparxxx","2001-12-01",6.5,49
27,8,"Hugh Jackman/Mick Jagger","Hugh Jackman","Mick Jagger","2001-12-08",6.9,67
27,9,"Ellen Degeneres/No Doubt","Ellen DeGeneres","No Doubt","2001-12-15",5.9,40
27,10,"Josh Hartnett/Pink","Josh Hartnett","Pink","2002-01-12",5.9,47
27,11,"Jack Black/The Strokes","Jack Black","The Strokes","2002-01-19",6,50
27,12,"Britney Spears","Britney Spears","Britney Spears","2002-02-02",6.3,58
27,13,"Jonny Moseley/Outkast","Jonny Moseley","Outkast","2002-03-02",5,28
27,14,"Jon Stewart/India.Arie","Jon Stewart","India.Arie","2002-03-09",6.1,37
27,15,"Ian McKellen/Kylie Minogue","Ian McKellen","Kylie Minogue","2002-03-16",7.4,53
27,16,"Cameron Diaz/Jimmy Eat World","Cameron Diaz","Jimmy Eat World","2002-04-06",5.4,31
27,17,"The Rock/Andrew W.K.","Dwayne Johnson","Andrew W.K.","2002-04-13",5.4,43
27,18,"Alec Baldwin/P.O.D.","Alec Baldwin","P.O.D.","2002-04-20",5.8,46
27,19,"Kirsten Dunst/Eminem","Kirsten Dunst","Eminem","2002-05-11",5.9,50
27,20,"Winona Ryder/Moby","Winona Ryder","Moby","2002-05-18",6.5,63
28,1,"Matt Damon/Bruce Springsteen & The E Street Band","Matt Damon","Bruce Springsteen & the E Street Band","2002-10-05",6.3,58
28,2,"Sarah Michelle Gellar/Faith Hill","Sarah Michelle Gellar","Faith Hill","2002-10-12",6.6,65
