"Season","Guests","Rating","Votes"
14,"Mel Gibson/Living Colour","5.8","39"
14,"Dolly Parton","6.0","29"
14,"Geena Davis/John Mellencamp","5.7","26"
14,"Wayne Gretzky/Fine Young Cannibals","6.2","29"
14,"Steve Martin/Tom Petty & The Heartbreakers","7.6","30"
15,"Bruce Willis/Neil Young","6.6","34"
15,"Rick Moranis/Rickie Lee Jones","5.9","32"
15,"Kathleen Turner/Billy Joel","6.2","27"
15,"James Woods/Don Henley","5.9","27"
15,"Chris Evert/Eurythmics","6.0","23"
15,"Woody Harrelson/David Byrne","6.0","36"
15,"John Goodman/k.d. lang","5.9","28"
15,"Robert Wagner/Linda Ronstadt & Aaron Neville","6.1","21"
15,"Andie MacDowell/Tracy Chapman","5.3","22"
15,"Ed O'Neill/Harry Connick Jr.","6.1","36"
15,"Christopher Walken/Bonnie Raitt","6.3","27"
15,"Quincy Jones & Co.","5.5","26"
15,"Tom Hanks/Aerosmith","6.7","40"
15,"Fred Savage/Technotronic","6.5","30"
15,"Rob Lowe/The Pogues","6.1","37"
15,"Debra Winger/Eric Clapton","5.8","28"
15,"Corbin Bernsen/The Smithereens","5.9","26"
15,"Alec Baldwin/The B-52's","6.5","44"
15,"Andrew Dice Clay/Julee Cruise/Spanic Boys","6.6","38"
15,"Candice Bergen/The Notting Hillbillies","4.9","23"
16,"Kyle MacLachlan/Sinéad O'Connor","7.3","52"
16,"Susan Lucci/Hothouse Flowers","6.5","28"
16,"George Steinbrenner/Morris Day & The Time","6.2","30"
16,"Patrick Swayze/Mariah Carey","7.9","59"
16,"Jimmy Smits/World Party","6.2","27"
16,"Dennis Hopper/Paul Simon","6.5","25"
16,"John Goodman/Faith No More","6.9","39"
16,"Tom Hanks/Edie Brickell & New Bohemians","6.7","42"
16,"Dennis Quaid/The Neville Brothers","5.7","30"
16,"Joe Mantegna/Vanilla Ice","6.5","31"
16,"Sting","6.4","36"
16,"Kevin Bacon/INXS","6.5","29"
16,"Roseanne Barr/Deee-lite","5.4","31"
16,"Alec Baldwin/Whitney Houston","6.8","55"
16,"Michael J. Fox/Black Crowes","6.6","39"
16,"Jeremy Irons/Fishbone","7.0","35"
16,"Catherine O'Hara/R.E.M.","6.6","31"
16,"Steven Seagal/Michael Bolton","6.0","43"
16,"Delta Burke/Chris Isaak","6.0","28"
16,"George Wendt/Elvis Costello","5.9","35"
17,"Michael Jordan/Public Enemy","7.2","59"
17,"Jeff Daniels/Color Me Badd","7.4","34"
17,"Kirstie Alley/Tom Petty & The Heartbreakers","6.9","29"
17,"Christian Slater/Bonnie Raitt","7.8","37"
17,"Kiefer Sutherland/Skid Row","7.7","34"
17,"Linda Hamilton/Mariah Carey","7.9","52"
17,"Macaulay Culkin/Tin Machine","7.4","44"
17,"Hammer","5.0","29"
17,"Steve Martin/James Taylor","8.0","46"
17,"Rob Morrow/Nirvana","7.6","37"
17,"Chevy Chase/Robbie Robertson","6.8","33"
17,"Susan Dey/C+C Music Factory","7.6","25"
17,"Jason Priestly/Teenage Fanclub","7.8","34"
17,"Roseanne & Tom Arnold/Red Hot Chili Peppers","7.8","56"
17,"John Goodman/Garth Brooks","7.7","32"
17,"Mary Stuart Masterson/En Vogue","6.3","27"
17,"Sharon Stone/Pearl Jam","7.9","41"
